question,answer
What is AI?,AI stands for Artificial Intelligence
What is machine learning?,Machine learning allows computers to learn from data
What is deep learning?,Deep learning is a subset of machine learning
What is NLP?,NLP means Natural Language Processing
What is Python?,Python is a programming language
Who invented Python?,Python was created by Guido van Rossum
What is ChatGPT?,ChatGPT is an AI chatbot developed by OpenAI
What is data science?,Data science is the study of data using algorithms
What is computer vision?,Computer vision helps computers understand images and videos
What is cybersecurity?,Cybersecurity protects systems from digital attacks
What is cloud computing?,Cloud computing provides services over the internet
What is the Internet of Things?,IoT connects smart devices through the internet
What is a chatbot?,A chatbot is a software that talks with users automatically
What is generative AI?,Generative AI creates text images and content using AI models
What is automation?,Automation uses technology to perform tasks automatically
What is coding?,Coding means writing instructions for computers
What is Java?,Java is an object-oriented programming language
What is C programming?,C is a powerful programming language used for system programming
What is JavaScript?,JavaScript is used for web development
What is HTML?,HTML is used to create web pages
What is CSS?,CSS is used to style web pages
What is an operating system?,An operating system manages computer hardware and software
What is Linux?,Linux is an open-source operating system
What is Windows?,Windows is an operating system developed by Microsoft
What is a database?,A database stores organized information electronically
What is SQL?,SQL is a language used to manage databases
What is a server?,A server provides services and resources to other computers
What is the internet?,The internet is a global network connecting computers
What is WiFi?,WiFi allows wireless internet connection
What is a web browser?,A web browser is software used to access websites
What is Google?,Google is a search engine company
What is OpenAI?,OpenAI is an AI research company
What is robotics?,Robotics deals with designing intelligent machines
What is virtual reality?,Virtual reality creates immersive digital environments
What is augmented reality?,Augmented reality adds digital elements to real environments
What is blockchain?,Blockchain is a secure distributed digital ledger
What is cryptocurrency?,Cryptocurrency is digital money using blockchain technology
What is Bitcoin?,Bitcoin is a popular cryptocurrency
What is software?,Software is a set of programs used by computers
What is hardware?,Hardware refers to physical computer components
What is RAM?,RAM is temporary memory used by computers
What is CPU?,CPU is the brain of the computer
What is GPU?,GPU processes graphics and visual data
What is artificial neural network?,ANN is a computing system inspired by the human brain
What is an algorithm?,An algorithm is a step-by-step problem-solving procedure
What is big data?,Big data refers to extremely large datasets
What is API?,API allows communication between software applications
What is GitHub?,GitHub is a platform for code hosting and collaboration
What is software engineering?,Software engineering is the process of developing software systems
What is debugging?,Debugging means fixing errors in code
